plasma_source,material,nozzle,gauge,thickness,cut_height,pierce_height,pierce_delay,current,feed,volts,kerf_width,metric,quality,
Powermax 45 XP,Mild Steel,Standard,16 GA,0.0598,0.06,0.15,0.1,45,249,128,0.053,0,High Quality,
Powermax 45 XP,Mild Steel,Standard,14 GA,0.0747,0.06,0.15,0.2,45,225,128,0.054,0,High Quality,
Powermax 45 XP,Mild Steel,Standard,10 GA,0.1345,0.06,0.15,0.4,45,129,128,0.057,0,High Quality,
Powermax 45 XP,Mild Steel,Standard,"3/16""",,0.06,0.15,0.5,45,85,129,0.059,0,High Quality,
Powermax 45 XP,Mild Steel,Standard,"1/4""",,0.06,0.15,0.6,45,48,130,0.061,0,High Quality,
Powermax 45 XP,Mild Steel,Standard,"3/8""",,0.06,0.15,0.8,45,33,136,0.069,0,High Quality,
Powermax 45 XP,Mild Steel,Standard,"1/2""",,0.06,0.15,1,45,18,141,0.077,0,High Quality,
Powermax 45 XP,Mild Steel,Standard,"5/8""",,0.06,0,0,45,13,146,0.082,0,High Quality,
Powermax 45 XP,Mild Steel,Standard,"3/4""",,0.06,0,0,45,7,151,0.086,0,High Quality,
Powermax 45 XP,Mild Steel,Standard,"7/8""",,0.06,0,0,45,6,154,0.103,0,High Quality,
Powermax 45 XP,Mild Steel,Standard,"1""",,0.06,0,0,45,4,157,0.119,0,High Quality,
Powermax 45 XP,Stainless Steel,Standard,16 GA,0.0625,0.06,0.15,0.1,45,237,125,0.017,0,High Quality,
Powermax 45 XP,Stainless Steel,Standard,14 GA,0.7812,0.06,0.15,0.2,45,230,126,0.022,0,High Quality,
Powermax 45 XP,Stainless Steel,Standard,10 GA,0.14062,0.06,0.15,0.4,45,90,130,0.041,0,High Quality,
Powermax 45 XP,Stainless Steel,Standard,"3/16""",,0.06,0.15,0.5,45,63,131,0.044,0,High Quality,
Powermax 45 XP,Stainless Steel,Standard,"1/4""",,0.06,0.15,0.6,45,40,131,0.047,0,High Quality,
Powermax 45 XP,Stainless Steel,Standard,"3/8""",,0.06,0.15,0.8,45,26,137,0.061,0,High Quality,
Powermax 45 XP,Stainless Steel,Standard,"1/2""",,0.06,0.18,1.2,45,12,142,0.075,0,High Quality,
Powermax 45 XP,Stainless Steel,Standard,"5/8""",,0.06,0,0,45,10,145,0.096,0,High Quality,
Powermax 45 XP,Stainless Steel,Standard,"3/4""",,0.06,0,0,45,8,148,0.116,0,High Quality,
